,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,last_owned
8397,SOLD,115000,3.0,2.0,2.34,48 Rabbit Hill Rd,Washington,Connecticut,6777.0,1200.0,Not Owned
8398,SOLD,450000,2.0,1.0,0.38,1223 State Route 295,East Chatham,New York,12060.0,1200.0,Not Owned
8399,SOLD,1300000,5.0,4.0,37.0,367 Dusenberry Hill Rd,East Nassau,New York,12062.0,4000.0,Not Owned
8400,SOLD,899000,4.0,4.0,5.86,406 Beach St,Goshen,Connecticut,6756.0,3646.0,Not Owned
8401,SOLD,95000,3.0,2.0,2.03,18 Edinburgh Dr,Schodack Landing,New York,12063.0,1200.0,10/27/2015
8402,SOLD,650095,3.0,3.0,0.09,420 Hunter Dr,Litchfield,Connecticut,6759.0,2466.0,Not Owned
8403,SOLD,695500,3.0,3.0,0.09,432 Hunter Dr,Litchfield,Connecticut,6759.0,2466.0,Not Owned
8404,SOLD,700000,3.0,1.0,110.6,Us7 Hwy,Pownal,Vermont,5261.0,2584.0,Not Owned
8405,SOLD,1150000,3.0,2.0,113.0,340 Kingman Rd,Schodack Landing,New York,12123.0,1200.0,Not Owned
8406,SOLD,530000,3.0,2.0,48.24,Wiltsie Bridge Rd,Ancramdale,New York,12503.0,1200.0,Not Owned
8407,SOLD,55000,3.0,2.0,7.0,Dugway Rd,Austerlitz,New York,12017.0,1302.0,Not Owned
8408,SOLD,570000,3.0,3.0,3.13,171 Litchfield Tpke,Washington,Connecticut,6777.0,2786.0,Not Owned
8409,SOLD,79900,3.0,1.0,5.59,484 Route 23,Claverack,New York,12513.0,1800.0,6/1/2006
8410,SOLD,218500,4.0,3.0,115.0,Fire Tower Rd,Grafton,New York,12138.0,1892.0,Not Owned
8411,SOLD,63000,3.0,3.0,5.66,Robinson Hollow Way,Stephentown,New York,12168.0,3092.0,Not Owned
8412,SOLD,325000,5.0,2.0,10.0,3201 Us Rt # 20,Nassau,New York,12123.0,2673.0,Not Owned
8413,SOLD,380000,2.0,2.0,1.98,9 Orchard Hill Rd,Harwinton,Connecticut,6791.0,1278.0,Not Owned
8414,SOLD,579900,4.0,3.0,1.6,109 Old Farms Rd,Watertown,Connecticut,6795.0,3763.0,6/29/2018
8415,SOLD,679000,3.0,3.0,3.03,15 Cemetery Hill Rd,Cornwall,Connecticut,6796.0,3088.0,2/23/2011
8416,SOLD,550000,3.0,2.0,0.58,343 Main St,Salisbury,Connecticut,6068.0,4770.0,11/7/2003
8417,SOLD,225000,3.0,3.0,5.31,22/23 Orchard Ave,Woodbury,Connecticut,6798.0,2000.0,Not Owned
8418,SOLD,325000,3.0,2.0,22.46,Route 66,Chatham,New York,12184.0,3200.0,Not Owned
8419,SOLD,849900,4.0,4.0,10.9,314 Old Mount Tom Rd,Litchfield,Connecticut,6750.0,2900.0,Not Owned
8420,SOLD,4290000,4.0,4.0,46.97,96-112 Romford Rd,Washington,Connecticut,6794.0,3516.0,Not Owned
8421,SOLD,1995000,3.0,2.0,98.3,200 Tice Hill Rd,Ghent,New York,12075.0,1762.0,Not Owned
8422,SOLD,54900,2.0,2.0,9.08,454 Dunham Hollow Rd,Nassau,New York,12018.0,1556.0,Not Owned
8423,SOLD,89900,4.0,3.0,25.1,173 Taconic Lake Rd,Grafton,New York,12138.0,1892.0,3/5/2018
8424,SOLD,169000,3.0,1.0,0.14,3624 Mechanic St,Valatie,New York,12184.0,2313.0,11/22/2005
8425,SOLD,39900,4.0,3.0,5.5,309 Old Siek Rd,Grafton,New York,12180.0,1892.0,7/9/2021
8426,SOLD,79900,2.0,2.0,1.71,21 Simmons Rd,Pittstown,New York,12090.0,1720.0,Not Owned
8427,SOLD,199900,3.0,2.0,1.29,18 Country Dr,Watertown,Connecticut,6795.0,1306.0,2/24/2006
8428,SOLD,329900,2.0,1.0,1.6,340 Goshen Rd,Litchfield,Connecticut,6759.0,872.0,11/22/2004
8429,SOLD,14995000,10.0,15.0,450.95,400 5 1/2 Mile Rd,Cornwall,Connecticut,6753.0,18000.0,Not Owned
8430,SOLD,265000,3.0,2.0,0.53,1630 County Route 13,New Lebanon,New York,12125.0,2250.0,5/8/2002
8431,SOLD,209000,3.0,4.0,0.42,293 VT Route 346,Pownal,Vermont,5261.0,3000.0,Not Owned
